% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 26.58    0.001062          30        35           write
 15.12    0.000604          14        43           close
 13.02    0.000520           8        58         4 read
 10.71    0.000428          13        31           ioctl
  6.96    0.000278          11        25           getpgrp
  6.68    0.000267          53         5           pselect6
  6.48    0.000259           4        64        26 openat
  6.11    0.000244           3        64         9 newfstatat
  2.80    0.000112          12         9           fcntl
  2.45    0.000098          98         1           ftruncate
  2.33    0.000093          93         1           utimensat
  0.65    0.000026          26         1           flock
  0.10    0.000004           1         3           lseek
  0.00    0.000000           0         3           poll
  0.00    0.000000           0        55           mmap
  0.00    0.000000           0        13           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0        11           brk
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0        16           getpid
  0.00    0.000000           0         6           socket
  0.00    0.000000           0         7         3 connect
  0.00    0.000000           0         1           sendto
  0.00    0.000000           0         2           recvfrom
  0.00    0.000000           0         3           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         2           getsockname
  0.00    0.000000           0         2         1 setsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2           getuid
  0.00    0.000000           0         1           getgroups
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0        25           futex
  0.00    0.000000           0         2           getdents64
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           sendmmsg
  0.00    0.000000           0         2           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.003995           7       516        45 total
